id,common_name,latitude,longitude,neighborhood,scientific_name
561208317,Vacant Site Small,40.45182471,-79.99984134,East Allegheny,Vacant Site Small
1159516161,Vacant Site Large,40.45708469,-79.99268193,East Allegheny,Vacant Site Large
365713130,Vacant Site Large,40.45417434,-80.00107122,East Allegheny,Vacant Site Large
946179747,Vacant Site Large,40.4541886,-80.00100173,East Allegheny,Vacant Site Large
63436627,Vacant Site Large,40.45284398,-80.00049645,East Allegheny,Vacant Site Large
1622088387,Vacant Site Large,40.45603676,-79.99388312,East Allegheny,Vacant Site Large
1125888647,Vacant Site Large,40.45272597,-79.99810582,East Allegheny,Vacant Site Large
24805549,Stump,40.4526221,-79.99787673,East Allegheny,Stump
1725024443,Stump,40.45247122,-79.99782927,East Allegheny,Stump
317139552,Stump,40.45209178,-79.99850054,East Allegheny,Stump
1503689455,Stump,40.45631093,-79.99989703,East Allegheny,Stump
1981983702,Stump,40.45181351,-79.99990603,East Allegheny,Stump
919339152,Stump,40.45172192,-80.00082336,East Allegheny,Stump
1444059828,Stump,40.45488074,-79.99955613,East Allegheny,Stump
1329981583,Stump,40.45527385,-79.99988382,East Allegheny,Stump
1045885931,Stump,40.45307423,-79.99924037,East Allegheny,Stump
1882174434,Stump,40.45221609,-79.99776366,East Allegheny,Stump
1440629859,Stump,40.45348092,-80.00103884,East Allegheny,Stump
1259288897,Stump,40.45567493,-79.99530141,East Allegheny,Stump
812668803,Elm: American,40.45555835,-80.00232798,East Allegheny,Ulmus americana
285145547,Cherry/Plum: spp.,40.45539672,-79.99933835,East Allegheny,Prunus spp.
1280921716,Crabapple: Flowering,40.45546043,-79.99913345,East Allegheny,Malus spp.
1445640248,Cherry/Plum: spp.,40.45544252,-79.99909423,East Allegheny,Prunus spp.
1125493046,Cherry/Plum: spp.,40.45542246,-79.99916112,East Allegheny,Prunus spp.
1041760505,Crabapple: Flowering,40.45540712,-79.99934439,East Allegheny,Malus spp.
738558959,Crabapple: Flowering,40.455424,-79.99924159,East Allegheny,Malus spp.
435158172,Cherry/Plum: spp.,40.45543822,-79.99901903,East Allegheny,Prunus spp.
2044213478,Vacant Site Small,40.45554337,-79.99904505,East Allegheny,Vacant Site Small
339583430,Maple: Freeman,40.45558474,-79.9988688,East Allegheny,Acer x freemanii
1460772142,Honeylocust: Thornless,40.45532903,-80.00015814,East Allegheny,Gleditsia triacanthos inermis
978260192,Maple: Norway,40.45547486,-79.99945091,East Allegheny,Acer platanoides
1764183189,Lilac: Japanese Tree,40.45513581,-80.00061345,East Allegheny,Syringa reticulata
1365723304,Pear: Callery,40.45494097,-80.00157957,East Allegheny,Pyrus calleryana
1054117246,Lilac: Japanese Tree,40.45528905,-79.99978897,East Allegheny,Syringa reticulata
1297913422,Maple: Freeman,40.45557282,-79.99892059,East Allegheny,Acer x freemanii
1127229397,Maple: Norway,40.45544957,-79.99894078,East Allegheny,Acer platanoides
1354281957,,40.46039697,-79.99439115,East Allegheny,
139640039,Pear: Callery,40.45432915,-80.00059293,East Allegheny,Pyrus calleryana
1918808238,Pear: Callery,40.45431078,-80.00066669,East Allegheny,Pyrus calleryana
472070793,Pear: Callery,40.45429615,-80.00072783,East Allegheny,Pyrus calleryana
1034125595,,40.45974347,-79.99492415,East Allegheny,
684194178,,40.45941694,-79.9952031,East Allegheny,
